src,src_community,dst,dst_community,weight
fsevents,0,node-pre-gyp,0,0.5
node-pre-gyp,0,tar-pack,0,0.1111111111111111
tar-pack,0,uid-number,142,0.125
node-pre-gyp,0,tar,0,0.1111111111111111
tar-pack,0,tar,0,0.125
tar-pack,0,fstream,0,0.125
fstream-ignore,0,fstream,0,0.3333333333333333
tar,0,fstream,0,0.3333333333333333
grunt,0,rimraf,0,0.0625
node-pre-gyp,0,rimraf,0,0.1111111111111111
tar-pack,0,rimraf,0,0.125
fstream,0,rimraf,0,0.25
tar,0,block-stream,0,0.3333333333333333
tar-pack,0,fstream-ignore,0,0.125
node-pre-gyp,0,rc,143,0.1111111111111111
rc,143,strip-json-comments,143,0.25
rc,143,ini,144,0.25
rc,143,deep-extend,143,0.25
node-pre-gyp,0,npmlog,0,0.1111111111111111
npmlog,0,gauge,0,0.3333333333333333
gauge,0,lodash.padstart,0,0.2
gauge,0,lodash.padend,0,0.2
gauge,0,lodash.pad,0,0.2
gauge,0,has-unicode,145,0.2
npmlog,0,ansi,0,0.3333333333333333
gauge,0,ansi,0,0.2
npmlog,0,are-we-there-yet,146,0.3333333333333333
are-we-there-yet,146,delegates,146,0.5
grunt-cli,156,nopt,147,0.25
grunt,0,nopt,147,0.0625
node-pre-gyp,0,nopt,147,0.1111111111111111
nopt,147,abbrev,147,1
fsevents,0,nan,0,0.5
chokidar,0,readdirp,0,0.1111111111111111
chokidar,0,is-binary-path,148,0.1111111111111111
is-binary-path,148,binary-extensions,148,1
chokidar,0,async-each,0,0.1111111111111111
chokidar,0,anymatch,149,0.1111111111111111
anymatch,149,arrify,149,0.5
grunt,0,js-yaml,150,0.0625
js-yaml,150,esprima,150,0.5
grunt,0,iconv-lite,151,0.0625
grunt,0,grunt-legacy-util,79,0.0625
grunt-legacy-util,79,which,152,0.14285714285714285
which,152,isexe,152,0.5
which,152,is-absolute,153,0.5
is-absolute,153,is-relative,153,0.5
is-relative,153,is-unc-path,153,1
is-unc-path,153,unc-path-regex,153,1
grunt-legacy-log-utils,79,underscore.string,27,0.3333333333333333
grunt-legacy-log,79,underscore.string,27,0.2
grunt-legacy-util,79,underscore.string,27,0.14285714285714285
grunt-legacy-log,79,hooker,154,0.2
grunt-legacy-util,79,hooker,154,0.14285714285714285
grunt-legacy-util,79,getobject,79,0.14285714285714285
grunt,0,exit,155,0.0625
grunt-legacy-util,79,exit,155,0.14285714285714285
grunt,0,grunt-legacy-log,79,0.0625
grunt-legacy-log,79,grunt-legacy-log-utils,79,0.2
grunt-cli,156,grunt-known-options,156,0.25
grunt,0,grunt-known-options,156,0.0625
grunt,0,grunt-cli,156,0.0625
engine.io-parser,157,has-binary,0,0.16666666666666666
socket.io-client,157,has-binary,0,0.09090909090909091
socket.io,157,has-binary,0,0.16666666666666666
socket.io,157,socket.io-adapter,157,0.16666666666666666
socket.io,157,socket.io-parser,157,0.16666666666666666
socket.io-client,157,socket.io-parser,157,0.09090909090909091
socket.io-adapter,157,socket.io-parser,157,0.5
socket.io-parser,157,benchmark,157,0.2
benchmark,157,platform,157,0.5
engine.io-client,160,component-emitter,157,0.08333333333333333
socket.io-client,157,component-emitter,157,0.09090909090909091
socket.io-parser,157,component-emitter,157,0.2
socket.io-parser,157,json3,158,0.2
socket.io,157,socket.io-client,157,0.16666666666666666
socket.io-client,157,backo2,159,0.09090909090909091
socket.io-client,157,to-array,157,0.09090909090909091
engine.io-client,160,parseuri,160,0.08333333333333333
socket.io-client,157,parseuri,160,0.09090909090909091
parsejson,160,better-assert,160,1
parseqs,160,better-assert,160,1
parseuri,160,better-assert,160,1
better-assert,160,callsite,160,1
socket.io-client,157,object-component,161,0.09090909090909091
socket.io-client,157,component-bind,162,0.09090909090909091
socket.io-client,157,engine.io-client,160,0.09090909090909091
engine.io-client,160,yeast,163,0.08333333333333333
engine.io-client,160,component-inherit,164,0.08333333333333333
engine.io-client,160,parseqs,160,0.08333333333333333
engine.io-client,160,parsejson,160,0.08333333333333333
engine.io,157,engine.io-parser,157,0.2
engine.io-client,160,engine.io-parser,157,0.08333333333333333
engine.io-parser,157,utf8,157,0.16666666666666666
engine.io-parser,157,blob,165,0.16666666666666666
engine.io-parser,157,base64-arraybuffer,166,0.16666666666666666
engine.io-parser,157,arraybuffer.slice,167,0.16666666666666666
engine.io-parser,157,after,157,0.16666666666666666
engine.io-client,160,xmlhttprequest-ssl,160,0.08333333333333333
engine.io,157,ws,168,0.2
engine.io-client,160,ws,168,0.08333333333333333
ws,168,ultron,168,0.5
ws,168,options,169,0.5
engine.io-client,160,has-cors,170,0.08333333333333333
socket.io,157,engine.io,157,0.16666666666666666
engine.io,157,base64id,157,0.2
mquery,48,sliced,48,0.25
mongoose,48,sliced,48,0.08333333333333333
mquery,48,regexp-clone,48,0.25
mongoose,48,regexp-clone,48,0.08333333333333333
mongoose,48,muri,171,0.08333333333333333
mongoose,48,mquery,48,0.08333333333333333
mquery,48,bluebird,172,0.25
mongoose,48,mpromise,173,0.08333333333333333
mongoose,48,mpath,174,0.08333333333333333
mongoose,48,mongodb,48,0.08333333333333333
mongodb,48,mongodb-core,48,0.3333333333333333
mongodb-core,48,require_optional,48,0.5
require_optional,48,resolve-from,48,0.5
mongoose,48,bson,48,0.08333333333333333
mongodb-core,48,bson,48,0.5
mongodb,48,es6-promise,48,0.3333333333333333
mongoose,48,kareem,175,0.08333333333333333
mongoose,48,hooks-fixed,176,0.08333333333333333
forever,177,winston,177,1
